#This file contains all special info about seeds.

#Format:
#seed_id;seed_level;crop_id;mature_id;
#reward1_id;reward2_id;manor_id;is_alternative;
#limit_for_seeds;limit_for_crops

# Seed: Dark Coda
5016;10;5073;5103;1864;1878;1;0;8100;9000
# Seed: Red Coda
5017;13;5068;5098;1865;1879;1;0;8100;9000
# Seed: Chilly Coda
5018;16;5065;5095;1866;1874;1;0;8100;9000
# Seed: Blue Coda
5019;19;5067;5097;1867;1894;1;0;4050;4500
# Seed: Golden Coda
5020;22;5069;5099;1868;1876;1;0;2025;2250
# Seed: Lute Coda
5021;25;5071;5101;1869;1895;1;0;1350;1500
# Seed: Desert Coda
5022;28;5070;5100;1870;1877;1;0;2025;2250
# Seed: Blue Cobol
5023;37;5077;5107;1873;4044;1;0;810;900
# Seed: Blue Coda
5024;19;5067;5097;1867;1894;2;0;4194;4660
# Seed: Golden Coda
5025;22;5069;5099;1868;1876;2;0;2097;2330
# Seed: Lute Coda
5026;25;5071;5101;1869;1895;2;0;1398;1553
# Seed: Desert Coda
5027;28;5070;5100;1870;1877;2;0;2097;2330
# Seed: Red Cobol
5028;31;5078;5108;1871;4042;2;0;2097;2330
# Seed: Chilly Cobol
5029;34;5075;5105;1872;1880;2;0;1677;1864
# Seed: Thorn Cobol
5030;40;5082;5112;1864;1895;2;0;838;932
# Seed: Golden Cobol
5031;43;5079;5109;1865;4039;2;0;838;932
# Seed: Great Cobol
5032;46;5084;5114;1866;1885;2;0;838;932
# Seed: Red Cobol
5033;31;5078;5108;1871;4042;3;0;2250;2500
# Seed: Chilly Cobol
5034;34;5075;5105;1872;1880;3;0;1800;2000
# Seed: Blue Cobol
5035;37;5077;5107;1873;4044;3;0;900;1000
# Seed: Thorn Cobol
5036;40;5082;5112;1864;1895;3;0;900;1000
# Seed: Golden Cobol
5037;43;5079;5109;1865;4039;3;0;900;1000
# Seed: Great Cobol
5038;46;5084;5114;1866;1885;3;0;900;1000
# Seed: Red Codran
5039;49;5088;5118;1867;4043;3;0;1125;1250
# Seed: Twin Codran
5040;58;5092;5122;1871;4040;3;0;900;1000
# Seed: Desert Codran
5041;64;5090;5120;1873;5550;3;0;450;500
# Seed: Dark Coda
5042;10;5073;5103;1864;1878;4;0;7200;8000
# Seed: Red Coda
5043;13;5068;5098;1865;1879;4;0;7200;8000
# Seed: Blue Coda
5044;19;5067;5097;1867;1894;4;0;3600;4000
# Seed: Red Cobol
5045;31;5078;5108;1871;4042;4;0;1800;2000
# Seed: Chilly Cobol
5046;34;5075;5105;1872;1880;4;0;1440;1600
